segment_type,segment_value,offer_type,received_count,viewed_count,completed_after_view_count,view_rate,completion_after_view_rate
성별,남성,bogo,13889,11536,4934,0.8305853553171575,0.4277045769764216
성별,남성,discount,11550,7862,4942,0.6806926406926407,0.6285932332739761
성별,남성,informational,7567,4898,0,0.6472842606052597,
성별,여성,bogo,10026,8395,4916,0.8373229603032116,0.5855866587254318
성별,여성,discount,8182,5779,4064,0.7063065265216328,0.7032358539539713
성별,여성,informational,5538,3530,0,0.6374142289635247,
연령,54세 이하,bogo,11720,9811,4533,0.8371160409556314,0.4620324125981042
연령,54세 이하,discount,9518,6397,4169,0.6720949779365413,0.6517117398780679
연령,54세 이하,informational,6388,4236,0,0.6631183469004384,
연령,55세 이상,bogo,12524,10413,5500,0.8314436282337911,0.5281859214443484
연령,55세 이상,discount,10499,7476,4998,0.7120678159824745,0.6685393258426966
연령,55세 이상,informational,6912,4349,0,0.6291956018518519,
소득,8만 달러 미만,bogo,18127,15186,6792,0.8377558338390246,0.44725404978269456
소득,8만 달러 미만,discount,15084,10218,6620,0.677406523468576,0.6478762967312586
소득,8만 달러 미만,informational,9977,6552,0,0.6567104339981958,
소득,8만 달러 이상,bogo,6117,5038,3241,0.8236063429785843,0.6433108376339818
소득,8만 달러 이상,discount,4933,3655,2547,0.7409284411108858,0.6968536251709986
소득,8만 달러 이상,informational,3323,2033,0,0.6117965693650316,
